Year,District,URN,SchoolName,Attainment8Score
2022,Barnsley,146501,Astrea Academy Dearne,39
2022,Barnsley,131749,Barnsley Academy,40.8
2022,Barnsley,146320,Darton Academy,51
2022,Barnsley,144606,Holy Trinity Catholic and Church of England School,42.8
2022,Barnsley,146455,Horizon Community College,51.5
2022,Barnsley,140979,Kirk Balk Academy,50.6
2022,Barnsley,143907,Netherwood Academy,39.3
2022,Barnsley,139210,Outwood Academy Carlton,43.5
2022,Barnsley,139211,Outwood Academy Shafton,42.5
2022,Barnsley,106653,Penistone Grammar School,60.1
2022,Doncaster,138314,Armthorpe Academy,41.4
2022,Doncaster,137066,Ash Hill Academy,43.1
2022,Doncaster,146370,Astrea Academy Woodfields,30.1
2022,Doncaster,138116,Campsmount Academy,37.5
2022,Doncaster,135942,De Warenne Academy,50.1
2022,Doncaster,137472,Don Valley Academy,48.6
2022,Doncaster,137842,Hall Cross Academy,50.6
2022,Doncaster,136672,The Hayfield School,57.2
2022,Doncaster,137899,Hungerhill School,51.1
2022,Doncaster,140865,The McAuley Catholic High School,45.5
2022,Doncaster,135963,Outwood Academy Adwick,44.2
2022,Doncaster,143938,Outwood Academy Danum,41.9
2022,Doncaster,137603,Ridgewood School,48.6
2022,Doncaster,136675,Rossington All Saints Academy,49.5
2022,Doncaster,144364,Sir Thomas Wharton Academy,45.5
2022,Doncaster,135007,Trinity Academy,42.3
2022,Doncaster,143916,XP East,41.3
2022,Doncaster,140964,XP School,42.6
2022,Rotherham,136718,Aston Academy,45.6
2022,Rotherham,136301,Brinsworth Academy,48.1
2022,Rotherham,143545,Clifton Community School,37.3
2022,Rotherham,141730,Dinnington High School,44.9
2022,Rotherham,136042,Maltby Academy,46.7
2022,Rotherham,140459,Oakwood High School,48.8
2022,Rotherham,140553,Rawmarsh Community School,47.3
2022,Rotherham,138329,St Bernard's Catholic High School,51.3
2022,Rotherham,106962,Saint Pius X Catholic High School A Specialist School in Humanities,46.1
2022,Rotherham,148547,Thrybergh Academy,36.1
2022,Rotherham,136331,Wales High School,52
2022,Rotherham,145848,Wath Academy,54.6
2022,Rotherham,140646,Wickersley School and Sports College,53.1
2022,Rotherham,139992,Wingfield Academy,50.9
2022,Rotherham,141853,Winterhill School,44.2
2022,Sheffield,138337,All Saints' Catholic High School,48.2
2022,Sheffield,107168,Bethany School,55.3
2022,Sheffield,107163,Birkdale School,72.7
2022,Sheffield,143963,The Birley Academy,40.8
2022,Sheffield,147788,Bradfield School,48.2
2022,Sheffield,138414,Chaucer School,29.7
2022,Sheffield,145191,Ecclesfield School,47
2022,Sheffield,138925,Fir Vale School,29.2
2022,Sheffield,139334,Firth Park Academy,42.3
2022,Sheffield,140547,Forge Valley School,50.1
2022,Sheffield,141495,Handsworth Grange Community Sports College,44.6
2022,Sheffield,145455,High Storrs School,58
2022,Sheffield,139856,Hinde House 2-16 Academy,43.8
2022,Sheffield,138841,King Ecgbert School,56.4
2022,Sheffield,107140,King Edward VII School,48.8
2022,Sheffield,138545,Meadowhead School Academy Trust,52.4
2022,Sheffield,140821,Newfield Secondary School,47.6
2022,Sheffield,138361,Notre Dame High School,57.8
2022,Sheffield,140415,Outwood Academy City,44.4
2022,Sheffield,135934,Parkwood E-ACT Academy,39.7
2022,Sheffield,107166,Sheffield High School,17.1
2022,Sheffield,131895,Sheffield Park Academy,39.8
2022,Sheffield,131896,Sheffield Springs Academy,38.4
2022,Sheffield,139167,Silverdale School,63
2022,Sheffield,145274,Stocksbridge High School,51.7
2022,Sheffield,138069,Tapton School,60.6
2022,Sheffield,139695,UTC Sheffield City Centre,38.8
2022,Sheffield,142605,UTC Sheffield Olympic Legacy Park,47.7
2022,Sheffield,145562,Westfield School,43.9
2022,Sheffield,145943,Yewlands Academy,39.1
2022,Bradford,134429,Al Mumin Primary and Secondary School,49.7
2022,Bradford,145173,Appleton Academy,39
2022,Bradford,143114,Beckfoot Thornton,45.6
2022,Bradford,142031,Beckfoot Upper Heaton,38.7
2022,Bradford,138087,Belle Vue Girls' Academy,50.1
