shortPostcode,Year,Population
AL1,2011,36180
AL1,2012,36431.5787632742
AL1,2013,36675.575813989315
AL1,2014,36945.6782188481
AL1,2015,37238.423767852735
AL1,2016,37520.6442831145
AL1,2017,37775.5499628259
AL1,2018,38004.44302490417
AL1,2019,38217.74500996839
AL1,2020,38432.24416392159
AL1,2021,38640.73908851087
AL1,2022,38830.85152482634
AL1,2023,39005.97866520331
AL1,2024,39170.58389517046
AL1,2025,39327.26623075114
AL10,2011,35900
AL10,2012,36149.631774503694
AL10,2013,36391.74051194628
AL10,2014,36659.75257204662
AL10,2015,36950.23253913524
AL10,2016,37230.26892658404
AL10,2017,37483.20187024459
AL10,2018,37710.323510062444
AL10,2019,37921.97473349543
AL10,2020,38134.813860828755
AL10,2021,38341.69522602375
AL10,2022,38530.33636653579
AL10,2023,38704.108183548866
AL10,2024,38867.43952008344
AL10,2025,39022.909278163774
AL2,2011,23604
AL2,2012,23768.131153353348
AL2,2013,23927.315962227854
AL2,2014,24103.532025364584
AL2,2015,24294.520580884357
AL2,2016,24478.642555517825
AL2,2017,24644.94420460317
AL2,2018,24794.27510115639
AL2,2019,24933.434306669264
AL2,2020,25073.374550724304
AL2,2021,25209.397607661984
AL2,2022,25333.42784389168
AL2,2023,25447.681603467634
AL2,2024,25555.070819834265
AL2,2025,25657.291103113603
AL3,2011,28462
AL3,2012,28659.911408521566
AL3,2013,28851.858452674514
AL3,2014,29064.341997370226
AL3,2015,29294.638399132797
AL3,2016,29516.654991321313
AL3,2017,29717.183610888635
AL3,2018,29897.248683660106
AL3,2019,30065.04860347486
AL3,2020,30233.790309384643
AL3,2021,30397.808621813056
AL3,2022,30547.365840232378
AL3,2023,30685.134460171827
AL3,2024,30814.62572759375
AL3,2025,30937.884230504125
AL4,2011,27268
AL4,2012,27457.608892121636
AL4,2013,27641.503628962426
AL4,2014,27845.07334636678
AL4,2015,28065.70865953036
AL4,2016,28278.411506687848
AL4,2017,28470.52781609554
AL4,2018,28643.03903822794
AL4,2019,28803.79963880094
AL4,2020,28965.46251691028
AL4,2021,29122.60015106452
AL4,2022,29265.883343807756
AL4,2023,29397.87247768833
AL4,2024,29521.93149954417
AL4,2025,29640.019225542346
AL5,2011,30240
AL5,2012,30450.274787214257
AL5,2013,30654.212620647788
AL5,2014,30879.96985455961
AL5,2015,31124.652701488856
AL5,2016,31360.53850528974
AL5,2017,31573.59399877986
AL5,2018,31764.907602904983
AL5,2019,31943.189859078062
AL5,2020,32122.47273402402
